Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",1,2,3,4,5
"Untuk soal berikut, pilihlah angka yang tepat untuk melengkapi pola gambar di dalam soal!",6,7,8,9,10